,Guest House,Place,room,bed,Condition,price,Travel Sustainable Level,Rating,Total Reviews
127,Guest House il Borgo di Sempronio,Semproniano,Deluxe Double Room with Balcony,1 large double bed,Fabulous,US$73,,8.7,362 reviews
128,Gli Ulivi Dell'Etna,Linera,Double Room with Balcony,1 large double bed,Very good,US$31,,8.0,407 reviews
129,La Casermetta,Santa Maria Maggiore,Double or Twin Room,Beds: 1 double or 2 singles,Superb,US$98,Travel Sustainable Level 2,9.1,111 reviews
130,Naplesuite,"Spaccanapoli, Naples",Deluxe Room,1 large double bed,Superb,US$110,,9.4,454 reviews
131,Torino 1854 Affittacamere,"Turin Historic Centre, Turin",Standard Double or Twin Room,Beds: 1 double or 2 singles,Superb,US$75,,9.2,532 reviews
132,VILLA VEGA,Fontane Bianche,Triple Room with Private Bathroom,"2 beds (1 single, 1 large double)",Exceptional,US$112,Travel Sustainable Level 1,9.5,130 reviews
133,South Valley,Agrigento,Double Room with Sea View,1 large double bed,Fabulous,US$54,Travel Sustainable Level 1,8.9,357 reviews
134,Trastevere Royal Suite,"Trastevere, Rome",Double Room,1 large double bed,Fabulous,US$172,,8.7,423 reviews
135,Il vecchio Fauno,Pompei,Economy Double Room,1 large double bed,Fabulous,US$67,Travel Sustainable Level 1,8.6,565 reviews
136,Villa Curte Nicia,Nizza Monferrato,Queen Room,1 large double bed,Superb,US$69,,9.2,197 reviews
137,Spazio[Bianco],Ivrea,Standard Double or Twin Room,Beds: 1 double or 2 singles,Exceptional,US$107,Travel Sustainable Level 2,9.5,329 reviews
138,White House,Trani,Double Room,1 large double bed,Very good,US$59,,8.1,466 reviews
139,Geordie's,Potenza,Double Room with Private Bathroom,1 large double bed,Superb,US$54,,9.4,216 reviews
140,Casa Sull'Albero,Malgrate,Double or Twin Room with Garden View,Beds: 1 double or 2 singles,Fabulous,US$129,,8.6,622 reviews
141,Casa Maria,"Salerno Old Town, Salerno",Double Room with Private Bathroom,1 large double bed,Superb,US$82,,9.0,717 reviews
142,La Canonica dei Fiori - Anna Fendi Country House,Ronciglione,Single Room,1 single bed,Fabulous,US$85,,8.6,245 reviews
143,Casale 50 Otranto,Alimini,Double Room,1 large double bed,Exceptional,US$101,,9.5,25 reviews
144,Lvresidence Roccelletta,Catanzaro Lido,Double Room,1 large double bed,Very good,US$48,,8.4,435 reviews
145,La Casermetta,Santa Maria Maggiore,Double or Twin Room,Beds: 1 double or 2 singles,Superb,US$98,Travel Sustainable Level 2,9.1,111 reviews
146,Nuova Opera Rooms,"Borgo Trento, Verona",Triple Room with City View,Multiple bed types,Superb,US$74,Travel Sustainable Level 2,9.1,"1,038 reviews"
147,Guest House il Borgo di Sempronio,Semproniano,Deluxe Double Room with Balcony,1 large double bed,Fabulous,US$73,,8.7,362 reviews
148,Gli Ulivi Dell'Etna,Linera,Double Room with Balcony,1 large double bed,Very good,US$31,,8.0,407 reviews
149,Naplesuite,"Spaccanapoli, Naples",Deluxe Room,1 large double bed,Superb,US$110,,9.4,454 reviews
150,Torino 1854 Affittacamere,"Turin Historic Centre, Turin",Standard Double or Twin Room,Beds: 1 double or 2 singles,Superb,US$75,,9.2,532 reviews
151,Central Vatican Rooms,"Vaticano Prati, Rome",Deluxe Double Room with City View,1 extra-large double bed,Fabulous,US$96,,8.6,271 reviews
152,VILLA VEGA,Fontane Bianche,Double Room with Private External Bathroom,1 large double bed,Exceptional,US$112,Travel Sustainable Level 1,9.5,130 reviews
153,South Valley,Agrigento,Double Room with Sea View,1 large double bed,Fabulous,US$54,Travel Sustainable Level 1,8.9,357 reviews
154,Trastevere Royal Suite,"Trastevere, Rome",Double Room,1 large double bed,Fabulous,US$172,,8.7,423 reviews
155,Guest House Antico Frantoio Pietrasanta Affittacamere,Pietrasanta,Double Room,Multiple bed types,Superb,US$80,,9.0,310 reviews
156,Il vecchio Fauno,Pompei,Economy Double Room,1 large double bed,Fabulous,US$67,Travel Sustainable Level 1,8.6,565 reviews
157,Villa Curte Nicia,Nizza Monferrato,Queen Room,1 large double bed,Superb,US$69,,9.2,197 reviews
158,White House,Trani,Double Room,1 large double bed,Very good,US$59,,8.1,466 reviews
159,Geordie's,Potenza,Double Room with Private Bathroom,1 large double bed,Superb,US$54,,9.4,216 reviews
160,Casa Sull'Albero,Malgrate,Double or Twin Room with Garden View,Beds: 1 double or 2 singles,Fabulous,US$129,,8.6,622 reviews
161,La Canonica dei Fiori - Anna Fendi Country House,Ronciglione,Single Room,1 single bed,Fabulous,US$85,,8.6,245 reviews
162,Lvresidence Roccelletta,Catanzaro Lido,Double Room,1 large double bed,Very good,US$48,,8.4,435 reviews
