,Guest House,Place,room,bed,Condition,price,Travel Sustainable Level,Rating,Total Reviews
209,5 Elementi Sassi Matera,"Sassi di Matera, Matera",Standard Double Room,1 large double bed,Superb,US$94,,9.3,"1,954 reviews"
210,Real Giardinetto a Toledo,"Plebiscito, Naples",Triple Room with Private Bathroom,"2 beds (1 single, 1 large double)",Fabulous,US$76,,8.9,645 reviews
211,Corte Tamellini,Soave,King Room with Pool View,1 extra-large double bed,Superb,US$80,,9.3,253 reviews
212,Affittacamere Le Terrazze,Corniglia,Double Room with Balcony or Terrace,1 large double bed,Fabulous,US$94,,8.9,358 reviews
213,Le Stanze del Lago Lake View,Como,Double Room with Balcony,1 large double bed,Very good,US$120,,8.3,512 reviews
214,Casa Lucia Valentini Terrani,"Arcella, Padova",Single Room,1 single bed,Very good,US$60,Travel Sustainable Level 1,8.0,"1,492 reviews"
215,amurimè,Porto Empedocle,Deluxe Double Room with Balcony,1 large double bed,Fabulous,US$59,,8.8,250 reviews
216,Vittorio Emanuele Charming Suites,Monopoli,Double Room,1 large double bed,Exceptional,US$110,Travel Sustainable Level 3,9.5,562 reviews
217,Corte Cristina,Quartucciu,Superior Double Room,1 large double bed,Fabulous,US$96,Travel Sustainable Level 1,8.6,413 reviews
218,B&B First Floor,"Rione Monti, Rome",Deluxe Double Room with View,1 large double bed,Fabulous,US$150,,8.6,225 reviews
219,Affittacamere La Darsena,Portovenere,Classic Double Room,1 large double bed,Fabulous,US$96,,8.6,217 reviews
220,"""il Pitti"" Soggiorno","Santo Spirito, Florence",Single Room with Shared Bathroom,1 single bed,Very good,US$77,,8.5,"1,603 reviews"
221,EVA LUXURY ROOMS CAGLIARI,Cagliari,Double Room with Private Bathroom,1 large double bed,Superb,US$67,Travel Sustainable Level 1,9.1,245 reviews
222,Adonis,Castelvecchio Calvisio,Double or Twin Room with Private Bathroom,1 large double bed,Very good,US$86,Travel Sustainable Level 2,8.4,111 reviews
223,Monti49 GuestHouse,"Rione Monti, Rome",Superior Double Room,1 extra-large double bed,Very good,US$90,,8.3,312 reviews
224,HOME D&D,Niscemi,Double or Twin Room with Private Bathroom,Multiple bed types,Exceptional,US$42,Travel Sustainable Level 2,9.5,113 reviews
225,Arcobaleno Suites,Cagliari,Classic Double Room,1 large double bed,Superb,US$57,,9.0,474 reviews
226,GardaBeds Adults Only,Castelnuovo del Garda,Double Room,1 large double bed,Superb,US$74,,9.4,394 reviews
227,Etna Suite Group,"City Centre, Catania",Double Room,1 large double bed,Superb,US$58,Travel Sustainable Level 1,9.0,"1,664 reviews"
228,Steam House Room & Breakfast,"Montagnola, Bologna",Superior Suite,"Private suite2 beds (1 single, 1 large double)",Fabulous,US$108,,8.8,496 reviews
229,Navona Jacuzzi Rooms,"Navona, Rome",Superior Double Room,1 large double bed,Superb,US$142,,9.1,575 reviews
230,5 Elementi Sassi Matera,"Sassi di Matera, Matera",Standard Double Room,1 large double bed,Superb,US$94,,9.3,"1,954 reviews"
231,Real Giardinetto a Toledo,"Plebiscito, Naples",Triple Room with Private Bathroom,"2 beds (1 single, 1 large double)",Fabulous,US$72,,8.9,645 reviews
232,Affittacamere Pavia,Pavia,Single Room,1 single bed,Good,US$64,,7.3,535 reviews
233,Il Sogno di Manarola by The First,Manarola,"Royal Honeymoon Suite, Jacuzzi & Amazing Seaview Terrace","Private suite2 beds (1 sofa bed, 1 large double)",Very good,US$294,,8.2,301 reviews
234,Terrazze Naos,San Leone,Deluxe Double Room with Balcony,"2 beds (1 single, 1 large double)",Fabulous,US$83,Travel Sustainable Level 2,8.8,190 reviews
235,Corte Tamellini,Soave,King Room with Pool View,1 extra-large double bed,Superb,US$80,,9.3,253 reviews
236,Affittacamere Le Terrazze,Corniglia,Double Room with Balcony or Terrace,1 large double bed,Fabulous,US$94,,8.9,358 reviews
237,Navona Jacuzzi Rooms,"Navona, Rome",Superior Double Room,1 large double bed,Superb,US$142,,9.1,575 reviews
238,Le Stanze del Lago Lake View,Como,Double Room with Balcony,1 large double bed,Very good,US$120,,8.3,512 reviews
239,Casa Lucia Valentini Terrani,"Arcella, Padova",Single Room,1 single bed,Very good,US$60,Travel Sustainable Level 1,8.0,"1,492 reviews"
240,Piazza Duomo Deluxe,Cecina,Deluxe Double or Twin Room,1 large double bed,Superb,US$101,,9.2,257 reviews
241,Vittorio Emanuele Charming Suites,Monopoli,Double Room,1 large double bed,Exceptional,US$110,Travel Sustainable Level 3,9.5,562 reviews
242,Corte Cristina,Quartucciu,Superior Double Room,1 large double bed,Fabulous,US$96,Travel Sustainable Level 1,8.6,413 reviews
243,B&B First Floor,"Rione Monti, Rome",Deluxe Double Room with View,1 large double bed,Fabulous,US$135,,8.6,225 reviews
244,Affittacamere La Darsena,Portovenere,Classic Double Room,1 large double bed,Fabulous,US$96,,8.6,217 reviews
245,"""il Pitti"" Soggiorno","Santo Spirito, Florence",Single Room with Shared Bathroom,1 single bed,Very good,US$77,,8.5,"1,603 reviews"
246,amurimè,Porto Empedocle,Deluxe Double Room with Side Sea View,1 large double bed,Fabulous,US$59,,8.8,250 reviews
247,EVA LUXURY ROOMS CAGLIARI,Cagliari,Double Room with Private Bathroom,1 large double bed,Superb,US$67,Travel Sustainable Level 1,9.1,245 reviews
248,Adonis,Castelvecchio Calvisio,Double or Twin Room with Private Bathroom,1 large double bed,Very good,US$86,Travel Sustainable Level 2,8.4,111 reviews
249,Monti49 GuestHouse,"Rione Monti, Rome",Superior Double Room,1 extra-large double bed,Very good,US$90,,8.3,312 reviews
250,HOME D&D,Niscemi,Double or Twin Room with Private Bathroom,Multiple bed types,Exceptional,US$42,Travel Sustainable Level 2,9.5,113 reviews
251,Arcobaleno Suites,Cagliari,Classic Double Room,1 large double bed,Superb,US$57,,9.0,474 reviews
252,Allegra Toscana - Affittacamere Guest house,Arezzo,Apartment with Terrace,"Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 1 kitchen • 538.2feet²2 beds (1 sofa bed, 1 large double)",Very good,US$63,Travel Sustainable Level 2,8.4,"1,007 reviews"
253,Etna Suite Group,"City Centre, Catania",Standard Double Room,1 extra-large double bed,Superb,US$58,Travel Sustainable Level 1,9.0,"1,664 reviews"
254,DG Sicily,"City Centre, Catania",Double Room with Private Bathroom,"3 beds (1 extra-large double, 2 sofa beds)",Superb,US$57,,9.2,319 reviews
255,Steam House Room & Breakfast,"Montagnola, Bologna",Superior Suite,"Private suite2 beds (1 single, 1 large double)",Fabulous,US$108,,8.8,496 reviews
256,Domus Angularia,Anguillara Sabazia,Quadruple Room,"3 beds (2 bunk beds, 1 large double)",Fabulous,US$71,Travel Sustainable Level 2,8.6,227 reviews
257,Argentina Residenza,"Pantheon, Rome",Suite - Split Level,Private suite1 large double bed,Superb,US$149,,9.0,252 reviews
258,Gli Agrumi Rooms,"Trapani City Centre, Trapani",Economy Double Room,1 extra-large double bed,Good,US$35,,7.2,610 reviews
259,X Hotel,Saviano,Deluxe Room,1 large double bed,Very good,US$75,,8.0,141 reviews
260,Casa Maghinardo,Brisighella,Double Room with Private Bathroom,1 large double bed,Exceptional,US$78,,9.6,225 reviews
261,Casa Rita,Manduria,Triple Room,Multiple bed types,Superb,US$36,Travel Sustainable Level 1,9.4,98 reviews
262,Firenze Suite,"San Marco - Santissima Annunziata, Florence",Deluxe Double Room,1 large double bed,Superb,US$105,Travel Sustainable Level 2,9.3,297 reviews
263,GardaBeds Adults Only,Castelnuovo del Garda,Double Room,1 large double bed,Superb,US$74,,9.4,394 reviews
264,Civico 27,Cosenza,Superior Triple Room,"2 beds (1 single, 1 large double)",Superb,US$69,,9.1,317 reviews
265,Pura Vida Barocca,Ragusa,Comfort Quadruple Room,"3 beds (2 singles, 1 large double)",Exceptional,US$50,,9.6,166 reviews
266,Momo Central Rome 2,"Aurelio, Rome",Superior Family Room,"4 beds (1 single, 1 sofa bed, 2 large doubles)",Fabulous,US$107,,8.9,719 reviews
267,Ziani Vatican Boutique,"Trionfale, Rome",Design Double Room,1 large double bed,Exceptional,US$93,,9.8,280 reviews
268,SantAgata bed&breakfast,Como,Superior Double or Twin Room with City View,Multiple bed types,Exceptional,US$197,,9.7,607 reviews
269,La Soffitta e La Torre,Orvieto,Junior Suite,Private suite • 2 bedrooms • 1 bathroom • 215.3feet²2 large double beds,Superb,US$107,,9.0,294 reviews
270,Double A Luxury Room,"Olbia City Centre, Olbia",Deluxe King Room,1 large double bed,Very good,US$45,,8.2,611 reviews
271,B&B Ai Filari,Baone,Double Room,1 extra-large double bed,Exceptional,US$101,,9.6,171 reviews
272,Les Fleurs Luxury House,"Spagna, Rome",Junior Suite,"Private suite2 beds (1 single, 1 large double)",Fabulous,US$126,,8.9,485 reviews
273,Maison Farinet,Saint-Rhémy-en-bosses,Deluxe Apartment,"Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 1 kitchen • 861.1feet²2 beds (1 extra-large double, 1 sofa bed)",Exceptional,US$192,,9.5,54 reviews
274,Dopodomani Suite,"Spagna, Rome",Double Room,1 large double bed,Superb,US$266,,9.4,391 reviews
275,Palazzo Marziale,"Sorrento City Centre, Sorrento",Classic Double or Twin Room,1 large double bed,Exceptional,US$136,,9.5,481 reviews
276,La Polena Camere Vernazza - Suite vista mare,Vernazza,Suite with Sea View,"Private suite • 1 bedroom • 1 living room • 1 bathroom • 269.1feet²3 beds (2 sofa beds, 1 large double)",Superb,US$128,,9.2,176 reviews
277,Camera 40,Gorgonzola,Double or Twin Room,Multiple bed types,Fabulous,US$75,,8.6,133 reviews
278,NEW Bcomfort,Cagliari,King Room with Spa Bath,1 large double bed,Very good,US$74,,8.3,622 reviews
279,Ca' Garibaldi Rooms,Bassano del Grappa,Deluxe Room,1 large double bed,Fabulous,US$117,,8.7,677 reviews
280,Pension Fellis,Vols am Schlern,Single Room with Balcony,1 single bed,Fabulous,US$85,,8.7,528 reviews
281,Gregorini Bingham Art Luxury Suites,"Saragozza, Bologna",King Suite,Private suite1 extra-large double bed,Superb,US$123,,9.0,759 reviews
282,Camplus Guest Roma Casa per Ferie,"Tiburtino, Rome",Superior Double or Twin Room,Beds: 1 double or 2 singles,Fabulous,US$123,,8.6,886 reviews
283,Luxury Ripetta 2,"Spagna, Rome",Deluxe Room,"2 beds (1 single, 1 large double)",Very good,US$159,,8.4,789 reviews
284,Casa dei Talenti,Cagliari,Double or Twin Room with Private Bathroom,1 extra-large double bed,Fabulous,US$48,,8.6,522 reviews
285,Podere Alberello,Torrita di Siena,Triple Room with Shower,"2 beds (1 single, 1 large double)",Superb,US$79,,9.4,192 reviews
286,Excellence Suite,"Via Veneto, Rome",Deluxe Double or Twin Room,1 large double bed,Very good,US$107,,8.2,"1,105 reviews"
287,Palazzo Romani Adami,Fermo,Single Room,1 single bed,Fabulous,US$60,,8.7,239 reviews
288,Liberty Palace,Milazzo,Deluxe Double or Twin Room,Multiple bed types,Superb,US$52,,9.1,516 reviews
289,Enny Camere,Alcamo,Double Room,1 large double bed,Fabulous,US$43,,8.9,331 reviews
290,Navona Style,"Pantheon, Rome",Queen Room with Spa Bath,"2 beds (1 single, 1 large double)",Superb,US$187,,9.3,398 reviews
291,Novella House,"Santa Maria Novella, Florence",One-Bedroom Apartment,"Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 1 kitchen • 699.7feet²3 beds (2 sofa beds, 1 large double)",Fabulous,US$130,,8.6,588 reviews
292,LA DIMORA DELLE 3 ZIE,"Sassi di Matera, Matera",Double Room,"2 beds (1 extra-large double, 1 sofa bed)",Exceptional,US$141,Travel Sustainable Level 1,9.6,525 reviews
293,Greeneria,Guarene,Superior Suite,"Private suite • 1 bedroom • 1 living room • 1 bathroom • 645.8feet²2 beds (1 double, 1 futon)",Fabulous,US$134,Travel Sustainable Level 3,8.8,77 reviews
294,Genova Suite Art,"Genoa Historical Centre, Genoa",Deluxe Quadruple Room,"2 beds (1 sofa bed, 1 large double)",Superb,US$93,Travel Sustainable Level 3,9.0,775 reviews
295,Suite Testani,Frosinone,Standard Double or Twin Room,1 double bed,Good,US$83,,7.7,198 reviews
296,Ca' San Polo,"San Polo, Venice",Superior Double Room,,Very good,,,8.3,"1,147 reviews"
297,Il Torrino,Galatina,Deluxe Twin Room,2 single beds,Very good,US$52,,8.3,120 reviews
298,KayDee GuestHouse,"Central Station, Rome",Comfort Room,1 double bed,Good,US$48,,7.3,297 reviews
299,Guest House Service - Express Airport Apartment,Modugno,Standard Double Room,Multiple bed types,Good,US$58,Travel Sustainable Level 1,7.6,152 reviews
300,The Boutique Napoli Suite,"Plebiscito, Naples",Deluxe Room,1 large double bed,Fabulous,US$75,,8.7,643 reviews
301,Le Corti del Re,"Plebiscito, Naples",Double or Twin Room,Beds: 1 double or 2 singles,Very good,US$80,Travel Sustainable Level 2,8.5,"1,477 reviews"
302,Epoca Home,Cosenza,Double Room with Balcony,1 large double bed,Superb,US$61,,9.3,349 reviews
303,Raxul Room,Sestu,Triple Room with Balcony,"2 beds (1 single, 1 large double)",Very good,US$77,,8.4,320 reviews
304,Guesthouse da Idolina dal 1946,Montalcino,Economy Double Room with Private Bathroom,1 large double bed,Superb,US$104,,9.0,533 reviews
305,Sui Tetti Luxury Rooms,"Old Town, Lecce",Economy Double Room,1 large double bed,Fabulous,US$73,,8.6,975 reviews
306,Lia Rooms,La Spezia,Economy Double Room,1 double bed,Very good,US$36,,8.0,977 reviews
307,Terrazze Naos,San Leone,Deluxe Double Room with Balcony,"2 beds (1 single, 1 large double)",Fabulous,US$77,Travel Sustainable Level 2,8.8,190 reviews
308,Black Rooms Colosseo,"Rione Monti, Rome",Standard King Room,1 double bed,Fabulous,US$72,Travel Sustainable Level 1,8.7,"1,806 reviews"
309,Pedrales Orgosolo,Orgosolo,Double or Twin Room with Private Bathroom,Beds: 1 double or 2 singles,Superb,US$48,,9.1,99 reviews
310,Corte dei medici - Palace,Catania,Double Room with Shared Bathroom,1 large double bed,Fabulous,US$47,,8.8,"1,603 reviews"
311,Dimore Annunziata,Aradeo,Single Room with Private Bathroom,Multiple bed types,Exceptional,US$43,,9.5,33 reviews
312,La Spezia by The First - Luxury Rooms & Suites,La Spezia,Deluxe Double Room with Internal View,1 large double bed,Very good,US$106,,8.2,904 reviews
313,Home at Rome Vatican Suites,"Vaticano Prati, Rome",Budget Double or Twin Room,Beds: 1 double or 2 singles,Fabulous,US$105,Travel Sustainable Level 2,8.9,614 reviews
314,Agriturismo Vecio Portico,Marostica,Deluxe Double or Twin Room,1 large double bed,Superb,US$64,Travel Sustainable Level 1,9.0,215 reviews
315,B&B Girasole Guesthouse,"Central Station, Rome",Double or Twin Room,1 large double bed,Very good,US$93,,8.1,503 reviews
316,Pura Vida Barocca,Ragusa,Deluxe Triple Room,"2 beds (1 single, 1 large double)",Exceptional,US$50,Travel Sustainable Level 2,9.6,166 reviews
317,Dolce Dormire,Civitanova Marche,Double Room with Private Bathroom,1 large double bed,Superb,US$52,,9.0,310 reviews
318,Momo Central Rome 2,"Aurelio, Rome",Superior Family Room,"4 beds (1 single, 1 sofa bed, 2 large doubles)",Fabulous,US$107,Travel Sustainable Level 3,8.9,719 reviews
319,Olimpia Residence,Caserta,Deluxe Quadruple Room,"2 beds (1 sofa bed, 1 large double)",Very good,US$113,Travel Sustainable Level 1,8.4,165 reviews
320,Ziani Vatican Boutique,"Trionfale, Rome",Design Double Room,1 large double bed,Exceptional,US$93,Travel Sustainable Level 2,9.8,280 reviews
321,DownTown,"Spagna, Rome",Deluxe Double Room,1 large double bed,Very good,US$150,,8.0,572 reviews
322,MammaDada charm rooms,"Bari City Centre, Bari",Deluxe Room,1 large double bed,Superb,US$77,,9.3,606 reviews
323,SantAgata bed&breakfast,Como,Superior Double or Twin Room with City View,Multiple bed types,Exceptional,US$197,Travel Sustainable Level 1,9.7,607 reviews
324,La Soffitta e La Torre,Orvieto,Junior Suite,Private suite • 2 bedrooms • 1 bathroom • 215.3feet²2 large double beds,Superb,US$107,,9.0,294 reviews
325,Momo Central Rome 2,"Aurelio, Rome",Superior Family Room,"4 beds (1 single, 1 sofa bed, 2 large doubles)",Fabulous,US$107,,8.9,719 reviews
326,Olimpia Residence,Caserta,Deluxe Quadruple Room,"2 beds (1 sofa bed, 1 large double)",Very good,US$113,,8.4,165 reviews
327,Ziani Vatican Boutique,"Trionfale, Rome",Design Double Room,1 large double bed,Exceptional,US$93,,9.8,280 reviews
328,DownTown,"Spagna, Rome",Deluxe Double Room,1 large double bed,Very good,US$150,,8.0,572 reviews
329,MammaDada charm rooms,"Bari City Centre, Bari",Deluxe Room,1 large double bed,Superb,US$77,,9.3,606 reviews
330,SantAgata bed&breakfast,Como,Superior Double or Twin Room with City View,Multiple bed types,Exceptional,US$197,,9.7,607 reviews
331,La Soffitta e La Torre,Orvieto,Junior Suite,Private suite • 2 bedrooms • 1 bathroom • 215.3feet²2 large double beds,Superb,US$107,,9.0,294 reviews
332,Double A Luxury Room,"Olbia City Centre, Olbia",Deluxe King Room,1 large double bed,Very good,US$45,,8.2,611 reviews
333,B&B Ai Filari,Baone,Double Room,1 extra-large double bed,Exceptional,US$101,,9.6,171 reviews
334,Les Fleurs Luxury House,"Spagna, Rome",Junior Suite,"Private suite2 beds (1 single, 1 large double)",Fabulous,US$140,,8.9,485 reviews
335,The Grey,"Naples Historical Centre, Naples",Double Room with Balcony,1 large double bed,Fabulous,US$165,,8.9,412 reviews
336,Maison Farinet,Saint-Rhémy-en-bosses,Deluxe Apartment,"Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 1 kitchen • 861.1feet²2 beds (1 extra-large double, 1 sofa bed)",Exceptional,US$192,,9.5,54 reviews
337,Dopodomani Suite,"Spagna, Rome",Double Room,1 large double bed,Superb,US$266,,9.4,391 reviews
338,La Polena Camere Vernazza - Suite vista mare,Vernazza,Suite with Sea View,"Private suite • 1 bedroom • 1 living room • 1 bathroom • 269.1feet²3 beds (2 sofa beds, 1 large double)",Superb,US$128,,9.2,176 reviews
339,NEW Bcomfort,Cagliari,King Room with Spa Bath,1 large double bed,Very good,US$74,,8.3,622 reviews
340,Ca' Garibaldi Rooms,Bassano del Grappa,Deluxe Room,1 large double bed,Fabulous,US$117,,8.7,677 reviews
341,Pension Fellis,Vols am Schlern,Economy Single Room,1 single bed,Fabulous,US$85,,8.7,528 reviews
342,Gregorini Bingham Art Luxury Suites,"Saragozza, Bologna",King Suite,Private suite1 extra-large double bed,Superb,US$123,,9.0,759 reviews
343,Camplus Guest Roma Casa per Ferie,"Tiburtino, Rome",Superior Double or Twin Room,Beds: 1 double or 2 singles,Fabulous,US$123,,8.6,886 reviews
344,Luxury Ripetta 2,"Spagna, Rome",Deluxe Room,"2 beds (1 single, 1 large double)",Very good,US$159,,8.4,789 reviews
345,Casa dei Talenti,Cagliari,Double or Twin Room with Private Bathroom,1 extra-large double bed,Fabulous,US$48,,8.6,522 reviews
346,Podere Alberello,Torrita di Siena,Triple Room with Shower,"2 beds (1 single, 1 large double)",Superb,US$79,,9.4,192 reviews
347,Excellence Suite,"Via Veneto, Rome",Double Room,1 large double bed,Very good,US$107,,8.2,"1,105 reviews"
348,Palazzo Romani Adami,Fermo,Single Room,1 single bed,Fabulous,US$60,,8.7,239 reviews
349,Liberty Palace,Milazzo,Standard Double or Twin Room,Multiple bed types,Superb,US$52,,9.1,516 reviews
350,Enny Camere,Alcamo,Double Room,1 large double bed,Fabulous,US$43,,8.9,331 reviews
351,Foro Carolino S&B,Naples,Superior Double or Twin Room,Beds: 1 double or 2 singles,Superb,US$155,,9.3,636 reviews
